matrix_row_number,No,timestamp,actual_pm25,m2_absolute_error,m3_absolute_error,m3_minus_m2_absolute_error
0,35065,2014-01-01 00:00:00,24.0,8.174311926605506,6.554776553991758,-1.6195353726137487
1,35066,2014-01-01 01:00:00,53.0,37.174311926605505,29.700406590951573,-7.473905335653932
2,35067,2014-01-01 02:00:00,65.0,49.174311926605505,46.24767980693255,-2.926632119672952
3,35068,2014-01-01 03:00:00,70.0,54.174311926605505,52.67921716145639,-1.495094765149112
4,35069,2014-01-01 04:00:00,79.0,42.09375,17.800459978122937,-24.293290021877063
5,35070,2014-01-01 05:00:00,92.0,55.09375,40.79258581680565,-14.301164183194352
6,35071,2014-01-01 06:00:00,106.0,69.09375,60.24701111246748,-8.846738887532517
7,35072,2014-01-01 07:00:00,75.0,24.07142857142857,24.104044488037538,0.03261591660896812
8,35073,2014-01-01 08:00:00,58.0,7.071428571428569,7.837404242975751,0.7659756715471815
9,35074,2014-01-01 09:00:00,33.0,17.92857142857143,14.458062321396646,-3.4705091071747844
10,35075,2014-01-01 10:00:00,51.0,0.0714285714285694,11.061058931556289,10.98963036012772
11,35076,2014-01-01 11:00:00,32.0,1.9268292682926926,2.3083782795947876,0.38154901130209495
12,35077,2014-01-01 12:00:00,23.0,10.926829268292693,5.526846920671915,-5.399982347620778
13,35078,2014-01-01 13:00:00,28.0,5.926829268292693,6.036405052046234,0.1095757837535416
14,35079,2014-01-01 14:00:00,23.0,37.0,5.383798328979601,-31.6162016710204
15,35080,2014-01-01 15:00:00,24.0,4.662790697674414,1.4721825066505545,-3.190608191023859
16,35081,2014-01-01 16:00:00,26.0,6.662790697674414,2.247960686596489,-4.414830011077925
17,35082,2014-01-01 17:00:00,26.0,6.662790697674414,3.066932336583818,-3.5958583610905954
18,35083,2014-01-01 18:00:00,27.0,7.662790697674414,4.130387793710533,-3.532402903963881
19,35084,2014-01-01 19:00:00,43.0,43.0,34.67388975172423,-8.326110248275768
20,35085,2014-01-01 20:00:00,62.0,64.46153846153848,35.96721205308462,-28.49432640845386
21,35086,2014-01-01 21:00:00,70.0,55.34065934065936,23.153469184168074,-32.18719015649128
22,35087,2014-01-01 22:00:00,81.0,136.84615384615384,72.43066205938689,-64.41549178676695
23,35088,2014-01-01 23:00:00,111.0,12.940298507462686,21.390501961319984,8.450203453857299
24,35089,2014-01-02 00:00:00,144.0,18.659340659340643,36.23472726343441,17.575386604093765
25,35090,2014-01-02 01:00:00,170.0,11.060240963855449,29.63358233762162,18.57334137376617
26,35091,2014-01-02 02:00:00,174.0,7.060240963855449,30.47907090119938,23.41882993734393
27,35092,2014-01-02 03:00:00,174.0,7.060240963855449,26.3790817763784,19.31884081252295
28,35093,2014-01-02 04:00:00,172.0,9.060240963855449,20.73802496016893,11.67778399631348
29,35094,2014-01-02 05:00:00,149.0,25.059701492537314,2.7027943521297004,-22.356907140407614
30,35095,2014-01-02 06:00:00,166.0,200.78431372549016,182.61171965036453,-18.17259407512563
31,35096,2014-01-02 07:00:00,187.0,4.407407407407447,21.123925079764035,16.716517672356588
32,35097,2014-01-02 08:00:00,107.0,84.40740740740745,102.66952113140823,18.262113724000784
